Begin training
Iteration 0, Losses: {'textcat': 36.72159976264726, 'ner': np.float32(11521.519)}
Iteration 1, Losses: {'textcat': 1.6635274938878506, 'ner': np.float32(2755.4624)}
Iteration 2, Losses: {'textcat': 0.6286915582171702, 'ner': np.float32(1406.3579)}
Iteration 3, Losses: {'textcat': 0.5272574281274067, 'ner': np.float32(1113.7976)}
Iteration 4, Losses: {'textcat': 0.40906220111395974, 'ner': np.float32(781.2074)}
Iteration 5, Losses: {'textcat': 0.3290568314624059, 'ner': np.float32(772.56665)}
Iteration 6, Losses: {'textcat': 0.2770952922503173, 'ner': np.float32(681.25616)}
Iteration 7, Losses: {'textcat': 0.2499614009061879, 'ner': np.float32(588.85785)}
Iteration 8, Losses: {'textcat': 0.2182792962605441, 'ner': np.float32(571.55225)}
Iteration 9, Losses: {'textcat': 0.1929243797731227, 'ner': np.float32(527.4767)}
Iteration 10, Losses: {'textcat': 0.15445562808494684, 'ner': np.float32(429.25156)}
Iteration 11, Losses: {'textcat': 0.1665337560653123, 'ner': np.float32(495.3322)}
Iteration 12, Losses: {'textcat': 0.11946804415681939, 'ner': np.float32(420.2754)}
Iteration 13, Losses: {'textcat': 0.12904919679022164, 'ner': np.float32(463.73056)}
Iteration 14, Losses: {'textcat': 0.09744989279403765, 'ner': np.float32(410.3315)}
Iteration 15, Losses: {'textcat': 0.04914327054151116, 'ner': np.float32(327.09338)}
Iteration 16, Losses: {'textcat': 0.05792125248257275, 'ner': np.float32(383.66623)}
Iteration 17, Losses: {'textcat': 0.09936742587058105, 'ner': np.float32(273.83154)}
Iteration 18, Losses: {'textcat': 0.0572225979490714, 'ner': np.float32(276.38647)}
Iteration 19, Losses: {'textcat': 0.054834311292927755, 'ner': np.float32(256.82913)}
